iter	Passed	Remaining
0	34	33974
1	64	32291
2	93	31149
3	123	30802
4	155	31009
5	186	30859
6	216	30682
7	244	30321
8	274	30249
9	304	30109
10	334	30082
11	364	29992
12	394	29979
13	426	30048
14	456	29968
15	487	29957
16	517	29903
17	548	29931
18	578	29873
19	610	29909
20	640	29881
21	671	29872
22	702	29846
23	733	29815
24	763	29769
25	795	29799
26	827	29804
27	856	29740
28	887	29731
29	919	29740
30	946	29600
31	977	29565
32	1006	29506
33	1038	29496
34	1068	29468
35	1098	29425
36	1128	29375
37	1161	29403
38	1191	29363
39	1221	29304
40	1250	29257
41	1281	29220
42	1310	29166
43	1341	29142
44	1371	29102
45	1403	29106
46	1431	29034
47	1462	29006
48	1493	28979
49	1523	28951
50	1554	28923
51	1584	28878
52	1614	28841
53	1645	28825
54	1677	28813
55	1708	28801
56	1740	28789
57	1770	28749
58	1802	28742
59	1833	28722
60	1863	28687
61	1894	28655
62	1925	28643
63	1955	28605
64	1986	28581
65	2017	28548
66	2049	28534
67	2080	28517
68	2111	28492
69	2142	28462
70	2173	28440
71	2203	28395
72	2234	28379
73	2262	28312
74	2294	28299
75	2325	28271
76	2355	28240
77	2387	28226
78	2420	28220
79	2453	28219
80	2484	28182
81	2514	28152
82	2546	28136
83	2575	28085
84	2606	28054
85	2637	28029
86	2668	28005
87	2699	27974
88	2730	27954
89	2761	27917
90	2792	27898
91	2822	27860
92	2854	27840
93	2884	27803
94	2915	27775
95	2945	27732
96	2974	27691
97	3003	27648
98	3035	27622
99	3065	27589
100	3097	27567
101	3126	27527
102	3157	27493
103	3187	27464
104	3218	27435
105	3248	27399
106	3280	27380
107	3310	27345
108	3341	27317
109	3372	27288
110	3406	27283
111	3437	27256
112	3470	27242
113	3502	27220
114	3535	27205
115	3567	27185
116	3601	27180
117	3635	27170
118	3667	27154
119	3700	27138
120	3733	27125
121	3764	27091
122	3798	27084
123	3830	27061
124	3863	27044
125	3895	27019
126	3929	27009
127	3963	27000
128	3994	26972
129	4025	26938
130	4057	26917
131	4087	26878
132	4116	26836
133	4147	26801
134	4177	26769
135	4208	26734
136	4238	26696
137	4268	26659
138	4299	26632
139	4328	26590
140	4358	26554
141	4390	26525
142	4421	26500
143	4454	26480
144	4484	26443
145	4515	26414
146	4548	26391
147	4579	26365
148	4612	26342
149	4643	26311
150	4674	26283
151	4709	26273
152	4742	26255
153	4773	26220
154	4805	26197
155	4839	26183
156	4868	26141
157	4899	26110
158	4931	26085
159	4962	26053
160	4994	26025
161	5024	25993
162	5057	25968
163	5087	25932
164	5116	25892
165	5148	25867
166	5179	25837
167	5209	25800
168	5239	25763
169	5269	25729
170	5299	25689
171	5329	25655
172	5359	25619
173	5389	25586
174	5421	25559
175	5451	25524
176	5482	25492
177	5512	25458
178	5544	25430
179	5572	25387
180	5603	25355
181	5632	25313
182	5664	25288
183	5696	25261
184	5726	25225
185	5755	25190
186	5787	25163
187	5819	25134
188	5849	25101
189	5882	25078
190	5915	25055
191	5945	25019
192	5975	24986
193	6007	24957
194	6037	24924
195	6067	24888
196	6096	24851
197	6128	24823
198	6160	24795
199	6190	24762
200	6219	24721
201	6250	24693
202	6280	24658
203	6310	24622
204	6342	24597
205	6373	24565
206	6403	24531
207	6435	24503
208	6465	24471
209	6495	24435
210	6525	24402
211	6557	24374
212	6588	24345
213	6621	24319
214	6653	24292
215	6685	24267
216	6716	24235
217	6747	24204
218	6778	24175
219	6813	24157
220	6842	24120
221	6872	24086
222	6905	24061
223	6934	24024
224	6963	23986
225	6992	23949
226	7022	23913
227	7054	23886
228	7085	23855
229	7114	23817
230	7145	23786
231	7177	23760
232	7207	23725
233	7239	23697
234	7267	23659
235	7301	23637
236	7332	23606
237	7362	23572
238	7391	23536
239	7424	23509
240	7457	23486
241	7487	23454
242	7517	23418
243	7548	23387
244	7578	23355
245	7608	23320
246	7639	23290
247	7675	23273
248	7706	23243
249	7738	23216
250	7772	23194
251	7806	23172
252	7839	23147
253	7872	23122
254	7905	23095
255	7937	23068
256	7966	23031
257	7996	22998
258	8026	22965
259	8058	22935
260	8090	22906
261	8120	22873
262	8150	22838
263	8182	22811
264	8214	22784
265	8243	22747
266	8275	22718
267	8308	22694
268	8338	22660
269	8370	22630
270	8399	22595
271	8431	22565
272	8460	22530
273	8490	22496
274	8520	22462
275	8553	22437
276	8582	22400
277	8612	22368
278	8641	22331
279	8672	22300
280	8702	22266
281	8732	22233
282	8760	22194
283	8791	22164
284	8821	22130
285	8851	22096
286	8882	22066
287	8911	22032
288	8943	22003
289	8974	21971
290	9006	21943
291	9035	21909
292	9066	21876
293	9095	21840
294	9125	21808
295	9156	21777
296	9186	21743
297	9215	21709
298	9247	21680
299	9276	21644
300	9305	21610
301	9335	21576
302	9365	21543
303	9395	21510
304	9427	21483
305	9456	21447
306	9486	21415
307	9516	21380
308	9545	21347
309	9573	21309
310	9602	21274
311	9631	21239
312	9662	21209
313	9692	21176
314	9722	21143
315	9752	21110
316	9782	21077
317	9814	21048
318	9845	21018
319	9880	20995
320	9915	20972
321	9951	20954
322	9986	20931
323	10020	20907
324	10055	20884
325	10084	20849
326	10115	20818
327	10143	20781
328	10173	20749
329	10202	20714
330	10232	20681
331	10261	20647
332	10295	20621
333	10323	20586
334	10357	20561
335	10386	20526
336	10420	20500
337	10449	20465
338	10479	20433
339	10506	20394
340	10536	20361
341	10567	20330
342	10596	20297
343	10628	20267
344	10660	20239
345	10691	20208
346	10721	20175
347	10751	20143
348	10783	20114
349	10815	20086
350	10848	20059
351	10879	20027
352	10917	20009
353	10959	19999
354	11004	19994
355	11043	19978
356	11093	19979
357	11129	19958
358	11165	19935
359	11197	19907
360	11226	19872
361	11255	19837
362	11288	19808
363	11319	19777
364	11352	19749
365	11388	19726
366	11420	19698
367	11451	19666
368	11482	19634
369	11512	19602
370	11546	19575
371	11577	19545
372	11606	19510
373	11636	19477
374	11672	19453
375	11702	19421
376	11736	19394
377	11766	19361
378	11798	19331
379	11829	19300
380	11859	19268
381	11888	19233
382	11918	19200
383	11949	19168
384	11977	19132
385	12007	19100
386	12037	19067
387	12069	19038
388	12099	19004
389	12128	18970
390	12157	18935
391	12189	18906
392	12218	18872
393	12246	18836
394	12276	18802
395	12305	18768
396	12333	18733
397	12362	18699
398	12392	18665
399	12421	18631
400	12452	18601
401	12481	18567
402	12510	18532
403	12539	18498
404	12570	18467
405	12600	18435
406	12634	18409
407	12667	18380
408	12696	18346
409	12724	18311
410	12756	18280
411	12785	18247
412	12816	18215
413	12844	18181
414	12873	18147
415	12902	18113
416	12934	18083
417	12964	18051
418	12994	18017
419	13022	17984
420	13053	17952
421	13082	17918
422	13111	17884
423	13141	17853
424	13170	17819
425	13198	17784
426	13228	17751
427	13259	17720
428	13292	17692
429	13322	17659
430	13350	17625
431	13380	17592
432	13410	17561
433	13443	17531
434	13473	17499
435	13502	17466
436	13533	17435
437	13564	17404
438	13594	17372
439	13625	17342
440	13656	17311
441	13689	17282
442	13720	17251
443	13749	17218
444	13779	17186
445	13810	17155
446	13840	17123
447	13875	17096
448	13906	17066
449	13975	17080
450	14007	17050
451	14037	17018
452	14068	16987
453	14097	16954
454	14128	16922
455	14157	16889
456	14188	16858
457	14217	16825
458	14247	16792
459	14278	16761
460	14308	16730
461	14338	16696
462	14368	16665
463	14400	16634
464	14432	16605
465	14462	16572
466	14491	16540
467	14522	16508
468	14552	16476
469	14582	16444
470	14612	16411
471	14644	16382
472	14674	16349
473	14705	16319
474	14737	16288
475	14767	16257
476	14798	16225
477	14829	16194
478	14859	16162
479	14889	16130
480	14919	16097
481	14949	16065
482	14980	16034
483	15008	16000
484	15038	15969
485	15070	15938
486	15099	15906
487	15129	15873
488	15160	15842
489	15193	15813
490	15222	15780
491	15252	15748
492	15282	15716
493	15314	15686
494	15345	15655
495	15374	15622
496	15404	15590
497	15436	15560
498	15474	15536
499	15504	15504
500	15535	15473
501	15566	15442
502	15597	15411
503	15626	15378
504	15657	15347
505	15688	15316
506	15717	15283
507	15747	15251
508	15777	15219
509	15807	15187
510	15838	15156
511	15882	15138
512	15913	15106
513	15944	15076
514	15975	15044
515	16006	15013
516	16035	14980
517	16068	14951
518	16098	14919
519	16129	14888
520	16159	14856
521	16190	14825
522	16219	14793
523	16250	14762
524	16279	14729
525	16310	14697
526	16341	14666
527	16370	14634
528	16402	14604
529	16432	14572
530	16463	14541
531	16493	14509
532	16522	14476
533	16553	14445
534	16581	14412
535	16611	14380
536	16642	14349
537	16675	14319
538	16705	14287
539	16736	14256
540	16766	14225
541	16797	14194
542	16827	14162
543	16858	14130
544	16887	14099
545	16918	14067
546	16949	14036
547	16979	14004
548	17009	13973
549	17041	13943
550	17071	13911
551	17102	13880
552	17133	13849
553	17162	13816
554	17193	13785
555	17224	13754
